orden,cantidad,tipo
1515234541,50,CORP
1515234764,6,CORP
1515235287,48,CORP
1515235568,3,ECM
1515235941,180,CORP
1515236479,41,CORP
1515236542,14,CORP
1515236640,60,CORP
1515236896,140,CORP
1515238659,4,ECM
1515239621,14,ECM
1515240354,5,ECM
1515240668,3,ECM
1515242394,2,ECM
1515242632,1,ECM
1515243769,130,CORP
1515245659,2,ECM
1515246093,50,CORP
1515246250,110,CORP
1515246321,3,ECM
1515246759,30,CORP
1515246952,6,CORP
1515247127,200,CORP
1515247367,368,CORP
1515247433,102,CORP
1515247513,144,CORP
1515247609,6,CORP
1515247703,6,CORP
1515247787,6,CORP
1515247924,8,CORP
1515248061,12,CORP
1515248066,160,CORP
1515248159,130,CORP
1515248162,7,CORP
1515248787,48,CORP
1515248878,12,CORP
1515248990,3,ECM
1515249125,18,CORP
1515250202,5,ECM
1515250481,2,ECM
1515251326,3,ECM
1515252244,4,CORP
1515252929,2,ECM
1515255271,4,ECM
1515255648,3,ECM
1515256212,60,CORP
1515256296,25,ECM
1515257382,3,ECM
1515257474,36,CORP
1515258754,18,CORP
1515258757,18,CORP
1515260082,8,ECM
1515260369,125,CORP
1515260429,1,CORP
1515260430,1,CORP
1515260689,96,ECM
1515261078,2,ECM
1515261359,6,ECM
1515261865,20,CORP
1515262703,3,ECM
1515265086,2,ECM
1515265322,1,ECM
1515265425,1,ECM
1515265454,1,ECM
1515265663,2,ECM
1515265957,2,ECM
1515266280,2,ECM
1515266630,1,ECM
1515266635,50,CORP
1515266741,2,ECM
1515266896,2,ECM
1515266974,1,ECM
1515267447,1,ECM
1515267896,3,ECM
1515267945,30,ECM
1515268152,3,ECM
1515268428,10,ECM
1515268438,99,ECM
1515268568,2,ECM
1515268618,6,CORP
1515268686,6,CORP
1515268726,1,ECM
1515268829,3,ECM
1515268892,8,ECM
1515268901,2,ECM
1515269212,2,ECM
1515269311,2,ECM
1515269413,12,ECM
1515269485,4,ECM
1515269509,16,ECM
1515269510,3,ECM
1515269562,234,CORP
1515269594,1,ECM
1515269859,24,ECM
1515269862,26,ECM
1515270073,2,ECM
1515270081,12,ECM
1515270199,2,ECM
1515270225,2,ECM
1515270242,5,ECM
1515270292,3,ECM
1515270294,4,ECM
1515270298,4,ECM
1515270314,1,ECM
1515270328,2,ECM
1515270420,1,ECM
1515270638,2,ECM
1515270970,16,ECM
1515271003,1,ECM
1515271010,87,ECM
1515271015,2,ECM
1515271099,2,ECM
1515271160,70,ECM
1515271214,216,CORP
1515271255,2,ECM
1515271383,2,ECM
1515271492,42,ECM
1515271544,384,CORP
1515271599,30,CORP
1515271684,250,CORP
1515271708,1,ECM
1515271893,2,ECM
1515271894,26,ECM
1515271968,2,ECM
1515272048,150,ECM
1515272054,6,ECM
1515272071,25,ECM
1515272079,2,ECM
1515272132,30,ECM
1515272180,3,ECM
1515272220,20,ECM
1515272266,5,ECM
1515272431,2,ECM
1515272502,1,ECM
1515272503,2,ECM
1515272507,40,ECM
1515272573,3,ECM
1515272581,20,ECM
1515272668,2,ECM
1515272748,3,ECM
1515272775,2,ECM
1515273162,40,ECM
1515273183,1,ECM
1515273252,1,ECM
1515273266,2,ECM
1515273348,2,ECM
1515273915,2,ECM
1515274662,180,CORP
1515274714,2,ECM
1515274770,4,ECM
1515274781,2,ECM
1515274928,10,ECM
1515275170,2,ECM
1515275225,2,ECM
1515275239,1,ECM
1515275255,3,ECM
1515275308,1,ECM
1515275436,3,ECM
1515275454,90,CORP
1515275519,6,CORP
1515275566,2,ECM
1515275672,4,ECM
1515275696,38,ECM
1515275982,2,ECM
1515276062,2,ECM
1515276414,4,ECM
1515276551,60,ECM
1515276561,36,CORP
1515276837,3,ECM
1515276956,2,ECM
1515276957,3,ECM
1515276968,1,ECM
1515277213,1,ECM
1515277248,2,ECM
1515277300,1,ECM
1515278108,3,ECM
1515278159,1,ECM
1515278161,1,ECM
1515278210,1,ECM
1515278284,2,ECM
1515278649,2,ECM
1515278709,1,ECM
1515278729,2,ECM
1515278859,2,ECM
1515278973,4,ECM
1515278989,1,ECM
1515279179,1,ECM
1515279186,7,ECM
1515280035,2,ECM
1515280104,1,ECM
1515280352,1,ECM
1515280560,5,ECM
1515280570,1,ECM
1515280575,2,ECM
1515280622,1,ECM
1515280683,2,ECM
1515280736,3,ECM
1515280757,1,ECM
1515280805,1,ECM
1515280896,2,ECM
1515280912,2,ECM
1515281200,1,ECM
1515281230,1,ECM
1515281352,2,ECM
1515281384,2,ECM
1515281386,2,ECM
1515281442,3,ECM
1515281544,3,ECM
1515281689,5,ECM
1515281748,2,ECM
1515281783,1,ECM
1515281811,1,ECM
1515281817,1,ECM
1515281933,4,ECM
1515282396,2,ECM
1515282397,2,ECM
1515282601,3,ECM
1515282998,2,ECM
1515283267,18,CORP
1515282202,1,ECM
1515277405,1,ECM
1515275690,1,ECM
1515267220,1,ECM
30994018,1,ECM
1515265689,3,ECM
1515261119,1,ECM
1515260584,1,ECM
1515259060,1,ECM
1515258802,6,CORP
1515258766,3,ECM
1515258675,48,CORP
1515257480,12,CORP
1515257292,1,ECM
30993358,1,ECM
1515252242,14,CORP
1515232405,4,ECM
1515198302,12,CORP
9001055227,60,CORP
9001055231,4,CORP
9001055171,32,CORP
9001055204,32,CORP
9001055029,4,CORP
9001055052,2,CORP
9001055269,18,CORP
9001055044,6,CORP
9001055197,8,CORP
9001055397,4,CORP
9001055186,52,CORP
9001055285,8,CORP
9001055026,44,CORP
9001055041,24,CORP
9001055035,26,CORP
9001055296,6,CORP
9001055238,4,CORP
9001055363,16,CORP
9001055306,42,CORP
9001055256,6,CORP
9001055039,8,CORP
9001055378,6,CORP
9001055245,4,CORP
9001055277,30,CORP
9001055199,104,CORP
9001055314,4,CORP
9001055396,4,CORP
9001055301,12,CORP
9001055060,6,CORP
9001055251,4,CORP
9001055305,6,CORP
9001055193,128,CORP
9001055036,8,CORP
9001055292,12,CORP
9001055042,12,CORP
9001055376,6,CORP
9001055040,6,CORP
9001055024,8,CORP
9001055333,4,CORP
9001055188,4,CORP
9001055239,4,CORP
9001055027,8,CORP
9001055043,12,CORP
9001055022,8,CORP
9001055033,16,CORP
9001055313,4,CORP
9001055379,12,CORP
9001055218,56,CORP
9001055175,36,CORP
9001055254,12,CORP
9001055399,4,CORP
9001055288,24,CORP
9001055322,186,CORP
9001055303,4,CORP
9001055266,30,CORP
9001055177,40,CORP
9001055030,8,CORP
9001055395,4,CORP
9001055290,132,CORP
9001055373,28,CORP
9001055338,36,CORP
9001055049,6,CORP
9001055241,16,CORP
9001055374,42,CORP
9001055192,120,CORP
9001055255,6,CORP
9001055335,60,CORP
9001055220,164,CORP
9001055023,8,CORP
9001055214,16,CORP
9001055250,16,CORP
9001055267,6,CORP
9001055201,100,CORP
9001055375,18,CORP
9001055281,18,CORP
9001055377,140,CORP
9001055051,24,CORP
9001055213,96,CORP
9001055293,54,CORP
9001055287,18,CORP
9001055249,12,CORP
9001055246,16,CORP
9001055278,6,CORP
9001055242,12,CORP
9001055258,24,CORP
9001055270,6,CORP
9001055300,24,CORP
9001055179,72,CORP
9001055310,108,CORP
9001055207,20,CORP
9001055061,12,CORP
9001055272,24,CORP
9001055222,28,CORP
9001055216,12,CORP
9001055212,80,CORP
9001055276,6,CORP
9001055209,52,CORP
9001055056,12,CORP
9001055172,20,CORP
9001055054,18,CORP
9001055176,36,CORP
9001055232,8,CORP
9001055289,150,CORP
9001055038,4,CORP
9001055046,24,CORP
9001055174,44,CORP
9001055252,12,CORP
9001055302,126,CORP
9001055280,12,CORP
9001055315,54,CORP
9001055226,8,CORP
9001055243,44,CORP
9001055371,400,CORP
9001055037,16,CORP
9001055187,8,CORP
9001055190,52,CORP
9001055221,44,CORP
9001055298,6,CORP
9001055282,12,CORP
9001055291,24,CORP
9001055260,6,CORP
9001055264,18,CORP
9001055337,18,CORP
9001055235,4,CORP
9001055247,12,CORP
9001055295,12,CORP
9001055182,164,CORP
9001055273,12,CORP
9001055047,24,CORP
9001055393,12,CORP
9001055223,20,CORP
9001055195,88,CORP
9001055311,180,CORP
9001055365,6,CORP
9001055274,6,CORP
9001055032,8,CORP
9001055257,6,CORP
9001055401,4,CORP
9001055386,42,CORP
9001055196,16,CORP
9001055210,296,CORP
9001055265,84,CORP
9001055364,12,CORP
9001055185,40,CORP
9001055234,16,CORP
9001055259,6,CORP
9001055334,12,CORP
9001055028,4,CORP
9001055219,276,CORP
9001055031,32,CORP
9001055271,12,CORP
9001055205,40,CORP
9001055402,4,CORP
9001055225,40,CORP
9001055261,6,CORP
9001055208,8,CORP
9001055286,12,CORP
9001055398,108,CORP
9001055007,4,CORP
9001055191,144,CORP
9001055217,36,CORP
9001055203,40,CORP
9001055055,6,CORP
9001055336,18,CORP
9001055183,6,CORP
9001055244,24,CORP
9001055178,48,CORP
9001055362,6,CORP
9001055058,8,CORP
9001055237,4,CORP
9001055211,44,CORP
9001055200,12,CORP
9001055262,30,CORP
9001055233,4,CORP
9001055372,6,CORP
9001055050,6,CORP
9001055053,24,CORP
9001055236,8,CORP
9001055279,6,CORP
9001055063,18,CORP
9001055184,40,CORP
9001055294,24,CORP
9001055268,36,CORP
9001055299,24,CORP
9001055253,6,CORP
9001055045,6,CORP
9001055304,6,CORP
9001055297,18,CORP
9001055062,48,CORP
9001055263,30,CORP
9001055400,14,CORP
9001055048,6,CORP
9001055275,18,CORP
9001055240,12,CORP
9001055198,12,CORP
9001055173,116,CORP
9001055034,52,CORP
9001055248,40,CORP
9001055025,12,CORP
9001055447,4,CORP
9001055444,292,CORP
9001055442,536,CORP
9001055454,66,CORP
9001055443,36,CORP
9001055449,6,CORP
9001055445,12,CORP
9001055451,220,CORP
9001055452,76,CORP
9001055450,12,CORP
9001055448,48,CORP
9001055453,6,CORP
9001055320,24,CORP
9001055309,54,CORP
9001055316,6,CORP
9001055387,12,CORP
9001055319,6,CORP
9001055312,30,CORP
9001055321,8,CORP
9001055317,6,CORP
9001055323,30,CORP
9001055324,6,CORP
9001055318,54,CORP
9001055057,24,CORP
9001055307,60,CORP
9001055284,66,CORP
9001055283,18,CORP
9001055380,18,CORP
9001055384,12,CORP
9001055382,24,CORP
9001055383,24,CORP
9001055385,12,CORP
9001055308,24,CORP
9001055381,6,CORP
9001054994,104,CORP
9001055021,24,CORP
9001055020,8,CORP
9001055019,4,CORP
9001055018,4,CORP
9001055017,12,CORP
9001055016,16,CORP
9001055015,92,CORP
9001055014,4,CORP
9001055013,16,CORP
9001055011,20,CORP
9001055010,4,CORP
9001055009,4,CORP
9001055006,196,CORP
9001055005,320,CORP
9001055002,4,CORP
9001055001,184,CORP
9001055000,4,CORP
9001054986,4,CORP
9001054985,4,CORP
9001054983,4,CORP
1515024744,318,CORP
1514748642,300,CORP
1514848162,300,CORP
1515288026,125,CORP
1515166575,100,CORP
1515166666,100,CORP
1515166679,100,CORP
1515167858,100,CORP
1515170316,100,CORP
1515171051,100,CORP
1515173134,100,CORP
1515173507,100,CORP
1515182577,100,CORP
1515187062,100,CORP
1515187152,100,CORP
1515194974,100,CORP
1515195356,100,CORP
1515195941,100,CORP
1515198105,100,CORP
1515199197,100,CORP
1515199525,100,CORP
1515285928,99,ECM
1515292365,75,ECM
1515294642,75,ECM
1515269268,70,CORP
1515286933,70,ECM
1515315466,64,ECM
1515317804,60,ECM
1515320967,60,ECM
1514472611,54,CORP
1515247604,54,CORP
1515285950,50,ECM
1515287372,50,ECM
1515289254,50,ECM
1515289337,50,ECM
1515289731,50,ECM
1515291817,50,ECM
1515292686,50,ECM
1515314647,50,ECM
1515086141,48,CORP
1515286987,45,ECM
1515289510,45,ECM
1515290878,45,ECM
1515315991,43,ECM
1515286847,42,ECM
1515287534,41,ECM
1515285626,40,ECM
1515286150,40,ECM
1515292003,40,ECM
1515292280,40,ECM
1515290470,38,ECM
1515322196,37,ECM
1515285260,36,ECM
1515289514,36,ECM
1515286940,35,ECM
1515288023,35,ECM
1515320386,34,ECM
1515285170,31,ECM
30993806,30,ECM
1515286704,30,ECM
1515287358,30,ECM
1515288437,30,ECM
1515288490,30,ECM
1515290716,30,ECM
1515292092,30,ECM
1515300469,30,ECM
1515301933,30,ECM
1515307161,30,ECM
1515291509,29,ECM
1515295619,28,ECM
1515284716,27,ECM
1515285917,27,ECM
1515288791,27,ECM
1515285933,26,ECM
1515322004,26,ECM
1515109000,25,CORP
1515285544,25,ECM
1515286581,25,ECM
1515288745,25,ECM
1515291747,25,ECM
1515314924,25,ECM
1515316386,25,ECM
1515285412,24,ECM
1515286419,24,ECM
1515287276,24,ECM
1515289155,24,ECM
1515289668,24,ECM
1515293478,24,ECM
1515304632,24,ECM
1515306355,24,ECM
1515321387,24,ECM
1515290736,22,ECM
1515285570,20,ECM
1515285918,20,ECM
1515290019,20,CORP
1515291929,20,ECM
1515294166,20,ECM
1515299421,20,ECM
1515300643,20,ECM
1515284573,19,ECM
1515286014,19,ECM
1515291890,19,ECM
1515296121,19,ECM
1515284768,18,ECM
1515286842,18,ECM
1515287463,18,ECM
1515290032,18,CORP
1515299203,18,ECM
1515302395,18,ECM
1515317089,17,ECM
1515284338,16,ECM
1515303227,16,ECM
1515315730,16,ECM
1515316569,16,ECM
1515316803,16,ECM
1515283154,15,ECM
1515284629,15,ECM
1515284672,15,ECM
1515287527,15,ECM
1515287629,15,ECM
1515287894,15,ECM
1515288265,15,ECM
1515312111,15,ECM
1515317279,15,ECM
1515284337,14,ECM
1515290217,14,ECM
1515292000,14,ECM
1515292482,14,ECM
1515295902,14,ECM
1515297743,14,ECM
1515312386,14,ECM
1515313681,14,ECM
1515321861,14,ECM
1515283990,13,ECM
1515291302,13,ECM
1515300803,13,ECM
1515302715,13,ECM
1515305058,13,ECM
1515311389,13,ECM
1515319066,13,ECM
1515232367,12,CORP
1515286594,12,ECM
1515286941,12,ECM
1515287206,12,ECM
1515288174,12,ECM
1515291090,12,ECM
1515292001,12,ECM
1515295825,12,ECM
1515304349,12,ECM
1515305146,12,ECM
1515312053,12,ECM
1515318774,12,ECM
1515319359,12,ECM
1515321569,12,ECM
1515321829,12,ECM
1515322679,12,ECM
1515323705,12,ECM
1515287759,11,ECM
1515290073,11,ECM
1515293333,11,ECM
1515295014,11,ECM
1515295358,11,ECM
1515297024,11,ECM
1515306190,11,ECM
1515311847,11,ECM
1515320087,11,ECM
1515284620,10,ECM
1515286374,10,ECM
1515287191,10,ECM
1515288089,10,ECM
1515289178,10,ECM
1515289272,10,ECM
1515289669,10,ECM
1515290602,10,ECM
1515290813,10,ECM
1515291567,10,ECM
1515291940,10,ECM
1515294933,10,ECM
1515296240,10,ECM
1515299274,10,ECM
1515299772,10,ECM
1515304956,10,ECM
1515306249,10,ECM
1515311254,10,ECM
1515313727,10,ECM
1515318076,10,ECM
1515320025,10,ECM
1515322836,10,ECM
1515323912,10,ECM
1515277040,9,ECM
1515287919,9,ECM
1515291376,9,ECM
1515293103,9,ECM
1515293878,9,ECM
1515295046,9,ECM
1515296266,9,ECM
1515304166,9,ECM
1515305324,9,ECM
1515311428,9,ECM
1515312161,9,ECM
1515313178,9,ECM
1515313870,9,ECM
1515316509,9,ECM
1515318153,9,ECM
1515319289,9,ECM
1515319836,9,ECM
1515321670,9,ECM
1515322495,9,ECM
1515322621,9,ECM
1515323597,9,ECM
1515284200,8,ECM
1515285270,8,ECM
1515285872,8,ECM
1515286445,8,ECM
1515288609,8,ECM
1515289356,8,ECM
1515290238,8,ECM
1515290731,8,ECM
1515294376,8,ECM
1515295915,8,ECM
1515298605,8,ECM
1515300183,8,ECM
1515301556,8,ECM
1515303256,8,ECM
1515305223,8,ECM
1515305233,8,ECM
1515305503,8,ECM
1515311994,8,ECM
1515312686,8,ECM
1515313825,8,ECM
1515314481,8,ECM
1515314841,8,ECM
1515317069,8,ECM
1515318772,8,ECM
1515319518,8,ECM
1515321255,8,ECM
1515278922,7,ECM
1515285573,7,ECM
1515289186,7,ECM
1515289500,7,ECM
1515289825,7,ECM
1515293127,7,ECM
1515295055,7,ECM
1515295362,7,ECM
1515295423,7,ECM
1515300632,7,ECM
1515300885,7,ECM
1515301942,7,ECM
1515302234,7,ECM
1515305436,7,ECM
1515311271,7,ECM
1515311836,7,ECM
1515312928,7,ECM
1515314312,7,ECM
1515314681,7,ECM
1515316299,7,ECM
1515319907,7,ECM
1515320794,7,ECM
1515320894,7,ECM
1515321677,7,ECM
1515322738,7,ECM
30994916,6,ECM
1515157841,6,CORP
1515278357,6,ECM
1515284377,6,ECM
1515284528,6,ECM
1515284829,6,ECM
1515285491,6,ECM
1515285731,6,ECM
1515285991,6,ECM
1515286003,6,ECM
1515287654,6,ECM
1515288073,6,ECM
1515288961,6,ECM
1515289440,6,ECM
1515289663,6,ECM
1515289794,6,ECM
1515290416,6,ECM
1515290675,6,ECM
1515290710,6,ECM
1515291242,6,ECM
1515292580,6,ECM
1515294078,6,ECM
1515294378,6,ECM
1515294391,6,ECM
1515294643,6,ECM
1515294773,6,ECM
1515295534,6,ECM
1515295676,6,ECM
1515297412,6,ECM
1515298613,6,ECM
1515298921,6,ECM
1515300379,6,ECM
1515301485,6,ECM
1515301760,6,ECM
1515301936,6,ECM
1515302139,6,ECM
1515302211,6,ECM
1515302293,6,ECM
1515302396,6,ECM
1515303074,6,ECM
1515303990,6,ECM
1515304333,6,ECM
1515305067,6,ECM
1515305068,6,ECM
1515305769,6,ECM
1515307698,6,ECM
1515307990,6,ECM
1515311841,6,ECM
1515311944,6,ECM
1515312061,6,ECM
1515312265,6,ECM
1515313008,6,ECM
1515313095,6,ECM
1515313832,6,ECM
1515313959,6,ECM
1515314540,6,ECM
1515314580,6,ECM
1515314825,6,ECM
1515314955,6,ECM
1515315450,6,ECM
1515315983,6,ECM
1515316679,6,ECM
1515316984,6,ECM
1515317528,6,ECM
1515317711,6,ECM
1515318147,6,ECM
1515318523,6,ECM
1515318538,6,ECM
1515318777,6,ECM
1515318869,6,ECM
1515318922,6,ECM
1515319531,6,ECM
1515319786,6,ECM
1515320359,6,ECM
1515320501,6,ECM
1515321227,6,ECM
1515321504,6,ECM
1515321839,6,ECM
30994802,5,ECM
1515284896,5,ECM
1515284930,5,ECM
1515285431,5,ECM
1515285725,5,ECM
1515285944,5,ECM
1515286146,5,ECM
1515287270,5,ECM
1515291317,5,ECM
1515291608,5,ECM
1515291735,5,ECM
1515291939,5,ECM
1515292500,5,ECM
1515293055,5,ECM
1515295501,5,ECM
1515295741,5,ECM
1515295904,5,ECM
1515297379,5,ECM
1515298203,5,ECM
1515300175,5,ECM
1515300975,5,ECM
1515301912,5,ECM
1515302138,5,ECM
1515302718,5,ECM
1515303606,5,ECM
1515304156,5,ECM
1515304997,5,ECM
1515305945,5,ECM
1515306026,5,ECM
1515306438,5,ECM
1515306949,5,ECM
1515307097,5,ECM
1515307332,5,ECM
1515311667,5,ECM
1515312092,5,ECM
1515312522,5,ECM
1515312682,5,ECM
1515313506,5,ECM
1515313514,5,ECM
1515315355,5,ECM
1515316144,5,ECM
1515316902,5,ECM
1515318999,5,ECM
1515319891,5,ECM
1515319984,5,ECM
1515320627,5,ECM
1515320906,5,ECM
1515322193,5,ECM
1515322691,5,ECM
1515323655,5,ECM
1515323787,5,ECM
1515324252,5,ECM
1515324442,5,ECM
30994992,4,ECM
1515153972,4,ECM
1515274795,4,ECM
1515284130,4,ECM
1515284241,4,ECM
1515284416,4,ECM
1515284471,4,ECM
1515284517,4,ECM
1515284671,4,ECM
1515284770,4,ECM
1515284920,4,ECM
1515285489,4,ECM
1515285805,4,ECM
1515286085,4,ECM
1515286331,4,ECM
1515286593,4,ECM
1515286991,4,ECM
1515287443,4,ECM
1515287642,4,ECM
1515287914,4,ECM
1515288017,4,ECM
1515288356,4,ECM
1515289339,4,ECM
1515289522,4,ECM
1515289736,4,ECM
1515289812,4,ECM
1515290406,4,ECM
1515290654,4,ECM
1515290712,4,ECM
1515290882,4,ECM
1515291443,4,ECM
1515291510,4,ECM
1515292230,4,ECM
1515292687,4,ECM
1515292838,4,ECM
1515292907,4,ECM
1515293269,4,ECM
1515293471,4,ECM
1515293599,4,ECM
1515293610,4,ECM
1515294432,4,ECM
1515294473,4,ECM
1515294743,4,ECM
1515294811,4,ECM
1515294885,4,ECM
1515294930,4,ECM
1515294942,4,ECM
1515295363,4,ECM
1515295591,4,ECM
1515296379,4,ECM
1515296427,4,ECM
1515296501,4,ECM
1515296830,4,ECM
1515297176,4,ECM
1515297836,4,ECM
1515298064,4,ECM
1515300261,4,ECM
1515300349,4,ECM
1515300695,4,ECM
1515301151,4,ECM
1515302134,4,ECM
1515302196,4,ECM
1515302477,4,ECM
1515302621,4,ECM
1515302789,4,ECM
1515303419,4,ECM
1515303433,4,ECM
1515303987,4,ECM
1515304256,4,ECM
1515304967,4,ECM
1515304992,4,ECM
1515305002,4,ECM
1515305519,4,ECM
1515305693,4,ECM
1515305778,4,ECM
1515306109,4,ECM
1515306156,4,ECM
1515306266,4,ECM
1515307280,4,ECM
1515307351,4,ECM
1515307659,4,ECM
1515307784,4,ECM
1515311188,4,ECM
1515311413,4,ECM
1515311464,4,ECM
1515311515,4,ECM
1515311525,4,ECM
1515311657,4,ECM
1515311712,4,ECM
1515311837,4,ECM
1515312195,4,ECM
1515312336,4,ECM
1515312640,4,ECM
1515312845,4,ECM
1515312989,4,ECM
1515314174,4,ECM
1515314423,4,ECM
1515314482,4,ECM
1515314859,4,ECM
1515314984,4,ECM
1515315552,4,ECM
1515315706,4,ECM
1515315872,4,ECM
1515316410,4,ECM
1515316588,4,ECM
1515316749,4,ECM
1515317193,4,ECM
1515317197,4,ECM
1515317390,4,ECM
1515317606,4,ECM
1515317692,4,ECM
1515317886,4,ECM
1515317918,4,ECM
1515318139,4,ECM
1515318373,4,ECM
1515318553,4,ECM
1515318811,4,ECM
1515318864,4,ECM
1515318925,4,ECM
1515318944,4,ECM
1515319441,4,ECM
1515319533,4,ECM
1515319730,4,ECM
1515319733,4,ECM
1515320384,4,ECM
1515320693,4,ECM
1515320785,4,ECM
1515320914,4,ECM
1515321222,4,ECM
1515321518,4,ECM
1515321594,4,ECM
1515321631,4,ECM
1515321654,4,ECM
1515321719,4,ECM
1515321735,4,ECM
1515321915,4,ECM
1515322024,4,ECM
